Time (s),Voltage (V)
0.0,0.04
1e-09,0.0328
2e-09,0.0264
3e-09,0.0216
4e-09,0.0216
5e-09,0.0256
6e-09,0.0328
7e-09,0.0392
8e-09,0.0432
9e-09,0.0432
1e-08,0.0392
1.1e-08,0.0328
1.2e-08,0.027200000000000002
1.3e-08,0.023200000000000002
1.4e-08,0.023200000000000002
1.5e-08,0.027200000000000002
1.6e-08,0.0328
1.7e-08,0.038400000000000004
1.8e-08,0.0408
1.9e-08,0.0408
2e-08,0.0376
2.1e-08,0.0328
2.2e-08,0.028800000000000003
2.3e-08,0.0256
2.4e-08,0.0256
2.5e-08,0.028
2.6e-08,0.032
2.7e-08,0.036000000000000004
2.8e-08,0.038400000000000004
2.9e-08,0.038400000000000004
3e-08,0.0368
3.1e-08,0.033600000000000005
3.2e-08,0.0304
3.3e-08,0.028800000000000003
3.4e-08,0.028
3.5e-08,0.0296
3.6e-08,0.032
3.7e-08,0.0344
3.8e-08,0.036000000000000004
3.9e-08,0.0368
4e-08,0.0368
4.1e-08,0.0352
4.2e-08,0.033600000000000005
4.3e-08,0.031200000000000002
4.4e-08,0.0296
4.5e-08,0.0296
4.6e-08,0.0304
4.7e-08,0.032
4.8e-08,0.033600000000000005
4.9e-08,0.036000000000000004
5e-08,0.0368
5.1e-08,0.036000000000000004
5.2e-08,0.0344
5.3e-08,0.0328
5.4e-08,0.0304
5.5e-08,0.028800000000000003
5.6e-08,0.028800000000000003
5.7e-08,0.0296
5.8e-08,0.032
5.9e-08,0.0352
6e-08,0.0376
6.1e-08,0.038400000000000004
6.2e-08,0.0376
6.3e-08,0.0344
6.4e-08,0.0304
6.5e-08,0.027200000000000002
6.6e-08,0.0256
6.7e-08,0.027200000000000002
6.8e-08,0.0304
6.9e-08,0.0352
7e-08,0.0392
7.1e-08,0.041600000000000005
7.2e-08,0.04
7.3e-08,0.036000000000000004
7.4e-08,0.0296
7.5e-08,0.024800000000000003
7.6e-08,0.023200000000000002
7.7e-08,0.024800000000000003
7.8e-08,0.0304
7.9e-08,0.0368
8e-08,0.041600000000000005
8.1e-08,0.044000000000000004
8.2e-08,0.041600000000000005
8.3e-08,0.036000000000000004
8.4e-08,0.028800000000000003
8.5e-08,0.023200000000000002
8.6e-08,0.0216
8.7e-08,0.024
8.8e-08,0.0304
8.9e-08,0.0376
9e-08,0.044000000000000004
9.1e-08,0.0456
9.2e-08,0.0424
9.3e-08,0.0352
9.4e-08,0.027200000000000002
9.5e-08,0.0216
9.6e-08,0.02
9.7e-08,0.024
9.8e-08,0.031200000000000002
9.9e-08,0.0392
1e-07,0.0448
1.01e-07,0.0456
1.02e-07,0.0408
1.03e-07,0.0328
1.04e-07,0.024800000000000003
1.05e-07,0.019200000000000002
1.06e-07,0.019200000000000002
1.07e-07,0.024
1.08e-07,0.032
1.09e-07,0.04
1.1e-07,0.0456
1.11e-07,0.0456
1.12e-07,0.0408
1.13e-07,0.032
1.14e-07,0.024800000000000003
1.15e-07,0.02
1.16e-07,0.020800000000000003
1.17e-07,0.0264
1.18e-07,0.0344
1.19e-07,0.041600000000000005
1.2e-07,0.0448
1.21e-07,0.044000000000000004
1.22e-07,0.038400000000000004
1.23e-07,0.0304
1.24e-07,0.024
1.25e-07,0.0216
1.26e-07,0.023200000000000002
1.27e-07,0.028800000000000003
1.28e-07,0.036000000000000004
1.29e-07,0.041600000000000005
1.3e-07,0.0432
1.31e-07,0.0408
1.32e-07,0.0352
1.33e-07,0.028800000000000003
1.34e-07,0.024
1.35e-07,0.023200000000000002
1.36e-07,0.0256
1.37e-07,0.0304
1.38e-07,0.0368
