Time (s),Voltage (V)
0.0,0.024800000000000003
1e-09,0.024
2e-09,0.0216
3e-09,0.0184
4e-09,0.016
5e-09,0.014400000000000001
6e-09,0.013600000000000001
7e-09,0.0152
8e-09,0.0176
9e-09,0.02
1e-08,0.0224
1.1e-08,0.0224
1.2e-08,0.0224
1.3e-08,0.02
1.4e-08,0.0176
1.5e-08,0.0152
1.6e-08,0.013600000000000001
1.7e-08,0.013600000000000001
1.8e-08,0.0152
1.9e-08,0.0184
2e-08,0.0216
2.1e-08,0.024
2.2e-08,0.024
2.3e-08,0.0224
2.4e-08,0.019200000000000002
2.5e-08,0.0152
2.6e-08,0.0128
2.7e-08,0.0128
2.8e-08,0.014400000000000001
2.9e-08,0.0184
3e-08,0.0224
3.1e-08,0.024800000000000003
3.2e-08,0.0256
3.3e-08,0.023200000000000002
3.4e-08,0.019200000000000002
3.5e-08,0.014400000000000001
3.6e-08,0.0112
3.7e-08,0.0112
3.8e-08,0.013600000000000001
3.9e-08,0.019200000000000002
4e-08,0.024
4.1e-08,0.028
4.2e-08,0.028
4.3e-08,0.024800000000000003
4.4e-08,0.0184
4.5e-08,0.012
4.6e-08,0.008
4.7e-08,0.008
4.8e-08,0.0128
4.9e-08,0.020800000000000003
5e-08,0.028
5.1e-08,0.032
5.2e-08,0.031200000000000002
5.3e-08,0.0256
5.4e-08,0.016800000000000002
5.5e-08,0.008
5.6e-08,0.0032
5.7e-08,0.0048000000000000004
5.8e-08,0.0112
5.9e-08,0.0216
6e-08,0.031200000000000002
6.1e-08,0.036000000000000004
6.2e-08,0.0344
6.3e-08,0.0264
6.4e-08,0.0152
6.5e-08,0.0048000000000000004
6.6e-08,0.0
6.7e-08,0.0016
6.8e-08,0.0112
6.9e-08,0.023200000000000002
7e-08,0.0344
7.1e-08,0.04
7.2e-08,0.0368
7.3e-08,0.027200000000000002
7.4e-08,0.013600000000000001
7.5e-08,0.0024000000000000002
7.6e-08,-0.0016
7.7e-08,0.0008
7.8e-08,0.0112
7.9e-08,0.024800000000000003
8e-08,0.036000000000000004
8.1e-08,0.041600000000000005
8.2e-08,0.038400000000000004
8.3e-08,0.028
8.4e-08,0.013600000000000001
8.5e-08,0.0016
8.6e-08,-0.0032
8.7e-08,0.0
8.8e-08,0.009600000000000001
8.9e-08,0.024
9e-08,0.036000000000000004
9.1e-08,0.0408
9.2e-08,0.0376
9.3e-08,0.027200000000000002
9.4e-08,0.013600000000000001
9.5e-08,0.0016
9.6e-08,-0.0024000000000000002
9.7e-08,0.0
9.8e-08,0.009600000000000001
9.9e-08,0.0224
1e-07,0.033600000000000005
1.01e-07,0.038400000000000004
1.02e-07,0.036000000000000004
1.03e-07,0.027200000000000002
1.04e-07,0.0152
1.05e-07,0.0056
1.06e-07,0.0
1.07e-07,0.0024000000000000002
1.08e-07,0.010400000000000001
1.09e-07,0.020800000000000003
1.1e-07,0.0304
1.11e-07,0.0352
1.12e-07,0.033600000000000005
1.13e-07,0.0264
1.14e-07,0.0176
1.15e-07,0.009600000000000001
1.16e-07,0.0056
1.17e-07,0.0056
1.18e-07,0.0112
1.19e-07,0.0184
1.2e-07,0.024800000000000003
1.21e-07,0.028800000000000003
1.22e-07,0.0296
1.23e-07,0.0264
1.24e-07,0.020800000000000003
1.25e-07,0.0152
1.26e-07,0.012
1.27e-07,0.010400000000000001
1.28e-07,0.012
1.29e-07,0.0152
1.3e-07,0.019200000000000002
1.31e-07,0.023200000000000002
1.32e-07,0.0256
1.33e-07,0.0256
1.34e-07,0.024
1.35e-07,0.020800000000000003
1.36e-07,0.0176
1.37e-07,0.014400000000000001
1.38e-07,0.012
