Time (s),Voltage (V)
0.0,0.024
1e-09,0.016
2e-09,0.010400000000000001
3e-09,0.0092
4e-09,0.013600000000000001
5e-09,0.0212
6e-09,0.030000000000000002
7e-09,0.036000000000000004
8e-09,0.037200000000000004
9e-09,0.0328
1e-08,0.0244
1.1e-08,0.0152
1.2e-08,0.0088
1.3e-08,0.0076
1.4e-08,0.012400000000000001
1.5e-08,0.0212
1.6e-08,0.0308
1.7e-08,0.0376
1.8e-08,0.038400000000000004
1.9e-08,0.0332
2e-08,0.024
2.1e-08,0.014400000000000001
2.2e-08,0.0076
2.3e-08,0.0068000000000000005
2.4e-08,0.012400000000000001
2.5e-08,0.022000000000000002
2.6e-08,0.032
2.7e-08,0.038
2.8e-08,0.038400000000000004
2.9e-08,0.0328
3e-08,0.023200000000000002
3.1e-08,0.0132
3.2e-08,0.0068000000000000005
3.3e-08,0.0068000000000000005
3.4e-08,0.0132
3.5e-08,0.023200000000000002
3.6e-08,0.0328
3.7e-08,0.038400000000000004
3.8e-08,0.038
3.9e-08,0.032
4e-08,0.0228
4.1e-08,0.0132
4.2e-08,0.008
4.3e-08,0.008400000000000001
4.4e-08,0.0148
4.5e-08,0.024
4.6e-08,0.0328
4.7e-08,0.0376
4.8e-08,0.0368
4.9e-08,0.0308
5e-08,0.0224
5.1e-08,0.014
5.2e-08,0.0092
5.3e-08,0.010400000000000001
5.4e-08,0.016
5.5e-08,0.0244
5.6e-08,0.0316
5.7e-08,0.0356
5.8e-08,0.034800000000000005
5.9e-08,0.0296
6e-08,0.0224
6.1e-08,0.015600000000000001
6.2e-08,0.012
6.3e-08,0.0128
6.4e-08,0.0176
6.5e-08,0.0236
6.6e-08,0.0292
6.7e-08,0.0324
6.8e-08,0.0324
6.9e-08,0.028800000000000003
7e-08,0.0236
7.1e-08,0.0188
7.2e-08,0.016
7.3e-08,0.016
7.4e-08,0.0184
7.5e-08,0.022000000000000002
7.6e-08,0.026000000000000002
7.7e-08,0.028800000000000003
