Time (s),Voltage (V)
0.0,0.032
1e-09,0.0296
2e-09,0.027200000000000002
3e-09,0.0256
4e-09,0.0256
5e-09,0.027200000000000002
6e-09,0.0296
7e-09,0.0328
8e-09,0.0344
9e-09,0.0352
1e-08,0.033600000000000005
1.1e-08,0.0304
1.2e-08,0.027200000000000002
1.3e-08,0.024800000000000003
1.4e-08,0.024
1.5e-08,0.0256
1.6e-08,0.028
1.7e-08,0.032
1.8e-08,0.0352
1.9e-08,0.036000000000000004
2e-08,0.0352
2.1e-08,0.032
2.2e-08,0.028
2.3e-08,0.0256
2.4e-08,0.024800000000000003
2.5e-08,0.0256
2.6e-08,0.028800000000000003
2.7e-08,0.032
2.8e-08,0.0344
2.9e-08,0.0352
3e-08,0.033600000000000005
3.1e-08,0.031200000000000002
3.2e-08,0.028
3.3e-08,0.0264
3.4e-08,0.0264
3.5e-08,0.027200000000000002
3.6e-08,0.0296
3.7e-08,0.0328
3.8e-08,0.0344
3.9e-08,0.0344
4e-08,0.0328
4.1e-08,0.0304
4.2e-08,0.028
4.3e-08,0.0264
4.4e-08,0.0264
4.5e-08,0.028
4.6e-08,0.0304
4.7e-08,0.0328
4.8e-08,0.033600000000000005
4.9e-08,0.032
5e-08,0.0304
5.1e-08,0.028800000000000003
5.2e-08,0.027200000000000002
5.3e-08,0.028
5.4e-08,0.028800000000000003
5.5e-08,0.031200000000000002
5.6e-08,0.0328
5.7e-08,0.033600000000000005
5.8e-08,0.0328
5.9e-08,0.0304
6e-08,0.028800000000000003
6.1e-08,0.027200000000000002
6.2e-08,0.0264
6.3e-08,0.028
6.4e-08,0.0304
6.5e-08,0.0328
6.6e-08,0.033600000000000005
6.7e-08,0.033600000000000005
6.8e-08,0.032
6.9e-08,0.028800000000000003
7e-08,0.027200000000000002
7.1e-08,0.0256
7.2e-08,0.0264
7.3e-08,0.028800000000000003
7.4e-08,0.032
7.5e-08,0.033600000000000005
7.6e-08,0.0344
7.7e-08,0.0328
7.8e-08,0.0296
7.9e-08,0.027200000000000002
8e-08,0.0256
8.1e-08,0.0256
8.2e-08,0.028
8.3e-08,0.031200000000000002
8.4e-08,0.033600000000000005
8.5e-08,0.0352
8.6e-08,0.0344
8.7e-08,0.032
8.8e-08,0.028800000000000003
8.9e-08,0.0256
9e-08,0.024800000000000003
9.1e-08,0.0264
9.2e-08,0.028800000000000003
9.3e-08,0.0328
9.4e-08,0.0352
9.5e-08,0.0352
9.6e-08,0.033600000000000005
9.7e-08,0.0304
9.8e-08,0.0264
9.9e-08,0.024800000000000003
1e-07,0.024800000000000003
1.01e-07,0.027200000000000002
1.02e-07,0.0304
1.03e-07,0.0344
1.04e-07,0.0368
1.05e-07,0.036000000000000004
1.06e-07,0.0328
1.07e-07,0.028800000000000003
1.08e-07,0.024800000000000003
1.09e-07,0.023200000000000002
1.1e-07,0.024800000000000003
1.11e-07,0.028
1.12e-07,0.032
1.13e-07,0.0352
1.14e-07,0.0368
1.15e-07,0.036000000000000004
1.16e-07,0.0328
1.17e-07,0.028
1.18e-07,0.024800000000000003
1.19e-07,0.023200000000000002
1.2e-07,0.024
1.21e-07,0.027200000000000002
1.22e-07,0.032
1.23e-07,0.0352
1.24e-07,0.0368
1.25e-07,0.036000000000000004
1.26e-07,0.0328
1.27e-07,0.028800000000000003
1.28e-07,0.0256
1.29e-07,0.024
1.3e-07,0.024800000000000003
1.31e-07,0.027200000000000002
1.32e-07,0.0304
1.33e-07,0.033600000000000005
1.34e-07,0.0352
1.35e-07,0.0352
1.36e-07,0.0328
1.37e-07,0.0296
1.38e-07,0.027200000000000002
1.39e-07,0.024800000000000003
1.4e-07,0.024800000000000003
1.41e-07,0.0264
1.42e-07,0.028800000000000003
1.43e-07,0.032
1.44e-07,0.0344
1.45e-07,0.0352
1.46e-07,0.0344
1.47e-07,0.0328
1.48e-07,0.0296
1.49e-07,0.028
1.5e-07,0.0264
1.51e-07,0.0256
1.52e-07,0.027200000000000002
1.53e-07,0.0296
1.54e-07,0.031200000000000002
1.55e-07,0.033600000000000005
1.56e-07,0.0344
1.57e-07,0.0344
1.58e-07,0.0328
1.59e-07,0.0304
1.6e-07,0.028
1.61e-07,0.0256
1.62e-07,0.0256
1.63e-07,0.0264
1.64e-07,0.0296
1.65e-07,0.032
1.66e-07,0.0352
1.67e-07,0.036000000000000004
1.68e-07,0.0352
1.69e-07,0.032
1.7e-07,0.028800000000000003
1.71e-07,0.0256
1.72e-07,0.023200000000000002
1.73e-07,0.024
1.74e-07,0.027200000000000002
1.75e-07,0.0304
1.76e-07,0.0344
1.77e-07,0.0368
1.78e-07,0.036000000000000004
1.79e-07,0.033600000000000005
1.8e-07,0.0296
1.81e-07,0.0256
1.82e-07,0.024
1.83e-07,0.024800000000000003
1.84e-07,0.027200000000000002
1.85e-07,0.0304
1.86e-07,0.033600000000000005
1.87e-07,0.036000000000000004
1.88e-07,0.036000000000000004
1.89e-07,0.033600000000000005
1.9e-07,0.0304
1.91e-07,0.027200000000000002
1.92e-07,0.024800000000000003
1.93e-07,0.024800000000000003
1.94e-07,0.027200000000000002
1.95e-07,0.0304
1.96e-07,0.033600000000000005
1.97e-07,0.0352
1.98e-07,0.0344
1.99e-07,0.0328
2e-07,0.0296
2.01e-07,0.028
2.02e-07,0.027200000000000002
2.03e-07,0.028
2.04e-07,0.0296
2.05e-07,0.031200000000000002
2.06e-07,0.0328
2.07e-07,0.0328
2.08e-07,0.031200000000000002
2.09e-07,0.0296
2.1e-07,0.028
2.11e-07,0.027200000000000002
2.12e-07,0.028
2.13e-07,0.0296
2.14e-07,0.031200000000000002
2.15e-07,0.0328
2.16e-07,0.032
2.17e-07,0.0304
2.18e-07,0.028800000000000003
2.19e-07,0.027200000000000002
2.2e-07,0.0264
2.21e-07,0.027200000000000002
2.22e-07,0.0296
2.23e-07,0.0328
2.24e-07,0.0344
2.25e-07,0.0344
2.26e-07,0.0328
2.27e-07,0.0296
2.28e-07,0.0264
2.29e-07,0.024800000000000003
2.3e-07,0.0256
2.31e-07,0.028
2.32e-07,0.031200000000000002
2.33e-07,0.0344
2.34e-07,0.0352
2.35e-07,0.0344
2.36e-07,0.032
2.37e-07,0.028800000000000003
2.38e-07,0.0256
2.39e-07,0.024800000000000003
2.4e-07,0.0256
2.41e-07,0.028
2.42e-07,0.031200000000000002
2.43e-07,0.033600000000000005
2.44e-07,0.0344
2.45e-07,0.033600000000000005
2.46e-07,0.031200000000000002
2.47e-07,0.028
2.48e-07,0.0256
2.49e-07,0.024800000000000003
2.5e-07,0.0264
2.51e-07,0.028800000000000003
2.52e-07,0.032
2.53e-07,0.0344
2.54e-07,0.0344
2.55e-07,0.032
2.56e-07,0.0296
2.57e-07,0.027200000000000002
2.58e-07,0.0256
2.59e-07,0.0256
2.6e-07,0.028
2.61e-07,0.0304
2.62e-07,0.032
2.63e-07,0.0328
2.64e-07,0.032
2.65e-07,0.0304
2.66e-07,0.028
2.67e-07,0.027200000000000002
2.68e-07,0.027200000000000002
2.69e-07,0.028800000000000003
2.7e-07,0.031200000000000002
2.71e-07,0.0328
2.72e-07,0.0328
2.73e-07,0.032
2.74e-07,0.0304
2.75e-07,0.028
2.76e-07,0.027200000000000002
2.77e-07,0.027200000000000002
2.78e-07,0.028800000000000003
2.79e-07,0.031200000000000002
2.8e-07,0.0328
2.81e-07,0.0344
2.82e-07,0.033600000000000005
2.83e-07,0.031200000000000002
2.84e-07,0.028800000000000003
2.85e-07,0.027200000000000002
2.86e-07,0.0264
2.87e-07,0.027200000000000002
2.88e-07,0.0296
2.89e-07,0.032
2.9e-07,0.033600000000000005
2.91e-07,0.033600000000000005
2.92e-07,0.032
2.93e-07,0.0296
2.94e-07,0.027200000000000002
2.95e-07,0.0264
2.96e-07,0.0264
2.97e-07,0.028
2.98e-07,0.0304
2.99e-07,0.0328
3e-07,0.033600000000000005
3.01e-07,0.0328
3.02e-07,0.031200000000000002
3.03e-07,0.0296
3.04e-07,0.028
3.05e-07,0.027200000000000002
3.06e-07,0.028
3.07e-07,0.028800000000000003
3.08e-07,0.0304
3.09e-07,0.031200000000000002
3.1e-07,0.032
3.11e-07,0.031200000000000002
3.12e-07,0.0304
3.13e-07,0.0296
3.14e-07,0.028800000000000003
3.15e-07,0.0296
3.16e-07,0.0304
3.17e-07,0.031200000000000002
3.18e-07,0.032
3.19e-07,0.031200000000000002
3.2e-07,0.0296
3.21e-07,0.028800000000000003
3.22e-07,0.028
3.23e-07,0.028800000000000003
3.24e-07,0.0304
3.25e-07,0.032
3.26e-07,0.033600000000000005
3.27e-07,0.033600000000000005
3.28e-07,0.032
