Time (s),Voltage (V)
0.0,0.008
1e-09,0.008
2e-09,0.008
3e-09,0.016
4e-09,0.016
5e-09,0.016
6e-09,0.016
7e-09,0.016
8e-09,0.016
9e-09,0.016
1e-08,0.008
1.1e-08,0.008
1.2e-08,0.008
1.3e-08,0.008
1.4e-08,0.008
1.5e-08,0.008
1.6e-08,0.008
1.7e-08,0.008
1.8e-08,0.008
1.9e-08,0.016
2e-08,0.016
2.1e-08,0.016
2.2e-08,0.008
2.3e-08,0.0
2.4e-08,0.0
2.5e-08,0.0
2.6e-08,0.0
2.7e-08,0.008
2.8e-08,0.016
2.9e-08,0.024
3e-08,0.024
3.1e-08,0.016
3.2e-08,0.008
3.3e-08,0.0
3.4e-08,0.0
3.5e-08,0.0
3.6e-08,0.0
3.7e-08,0.0
3.8e-08,0.016
3.9e-08,0.024
4e-08,0.024
4.1e-08,0.024
4.2e-08,0.016
4.3e-08,0.008
4.4e-08,0.0
4.5e-08,0.0
4.6e-08,0.0
4.7e-08,0.0
4.8e-08,0.016
4.9e-08,0.024
5e-08,0.032
5.1e-08,0.032
5.2e-08,0.024
5.3e-08,0.008
5.4e-08,0.0
5.5e-08,-0.008
5.6e-08,-0.008
5.7e-08,0.0
5.8e-08,0.008
5.9e-08,0.024
6e-08,0.032
6.1e-08,0.032
6.2e-08,0.024
6.3e-08,0.008
6.4e-08,0.0
6.5e-08,-0.008
6.6e-08,-0.008
6.7e-08,0.0
6.8e-08,0.008
6.9e-08,0.024
7e-08,0.032
7.1e-08,0.04
7.2e-08,0.032
7.3e-08,0.016
7.4e-08,0.0
7.5e-08,-0.008
7.6e-08,-0.008
7.7e-08,0.0
7.8e-08,0.0
7.9e-08,0.016
8e-08,0.024
8.1e-08,0.032
8.2e-08,0.024
8.3e-08,0.016
8.4e-08,0.0
8.5e-08,0.0
8.6e-08,-0.008
8.7e-08,0.0
8.8e-08,0.0
8.9e-08,0.016
9e-08,0.032
9.1e-08,0.032
9.2e-08,0.032
9.3e-08,0.016
9.4e-08,0.008
9.5e-08,0.0
9.6e-08,0.0
9.7e-08,0.0
9.8e-08,0.0
9.9e-08,0.008
1e-07,0.016
1.01e-07,0.024
1.02e-07,0.024
1.03e-07,0.016
1.04e-07,0.0
1.05e-07,0.0
1.06e-07,0.0
1.07e-07,0.0
1.08e-07,0.0
1.09e-07,0.008
1.1e-07,0.016
1.11e-07,0.016
1.12e-07,0.016
1.13e-07,0.008
1.14e-07,0.008
1.15e-07,0.0
1.16e-07,0.0
1.17e-07,0.0
1.18e-07,0.008
1.19e-07,0.008
1.2e-07,0.016
1.21e-07,0.016
1.22e-07,0.016
1.23e-07,0.016
1.24e-07,0.008
1.25e-07,0.0
1.26e-07,0.0
1.27e-07,0.0
1.28e-07,0.008
1.29e-07,0.016
1.3e-07,0.016
1.31e-07,0.024
1.32e-07,0.016
1.33e-07,0.008
1.34e-07,0.008
1.35e-07,0.0
1.36e-07,0.0
1.37e-07,0.0
1.38e-07,0.008
