Time (s),Voltage (V)
0.0,0.0536
1e-09,0.054400000000000004
2e-09,0.0528
3e-09,0.0504
4e-09,0.048
5e-09,0.046400000000000004
6e-09,0.0456
7e-09,0.046400000000000004
8e-09,0.048
9e-09,0.0504
1e-08,0.0512
1.1e-08,0.052000000000000005
1.2e-08,0.052000000000000005
1.3e-08,0.0512
1.4e-08,0.049600000000000005
1.5e-08,0.048
1.6e-08,0.0472
1.7e-08,0.0472
1.8e-08,0.0472
1.9e-08,0.0472
2e-08,0.048
2.1e-08,0.049600000000000005
2.2e-08,0.0512
2.3e-08,0.0528
2.4e-08,0.0528
2.5e-08,0.052000000000000005
2.6e-08,0.049600000000000005
2.7e-08,0.0472
2.8e-08,0.0448
2.9e-08,0.044000000000000004
3e-08,0.0448
3.1e-08,0.048
3.2e-08,0.052000000000000005
3.3e-08,0.055200000000000006
3.4e-08,0.0568
3.5e-08,0.056
3.6e-08,0.052000000000000005
3.7e-08,0.0472
3.8e-08,0.0424
3.9e-08,0.0408
4e-08,0.041600000000000005
4.1e-08,0.046400000000000004
4.2e-08,0.052000000000000005
4.3e-08,0.057600000000000005
4.4e-08,0.060000000000000005
4.5e-08,0.0584
4.6e-08,0.0536
4.7e-08,0.046400000000000004
4.8e-08,0.04
4.9e-08,0.0368
5e-08,0.0392
5.1e-08,0.0448
5.2e-08,0.0536
5.3e-08,0.060000000000000005
5.4e-08,0.0632
5.5e-08,0.0608
5.6e-08,0.054400000000000004
5.7e-08,0.0456
5.8e-08,0.038400000000000004
5.9e-08,0.0352
6e-08,0.0376
6.1e-08,0.0448
6.2e-08,0.054400000000000004
6.3e-08,0.062400000000000004
6.4e-08,0.0648
6.5e-08,0.062400000000000004
6.6e-08,0.054400000000000004
6.7e-08,0.044000000000000004
6.8e-08,0.036000000000000004
6.9e-08,0.033600000000000005
7e-08,0.0368
7.1e-08,0.0448
7.2e-08,0.055200000000000006
7.3e-08,0.0632
7.4e-08,0.0656
7.5e-08,0.062400000000000004
7.6e-08,0.0536
7.7e-08,0.044000000000000004
7.8e-08,0.0368
7.9e-08,0.0344
8e-08,0.0392
8.1e-08,0.0472
8.2e-08,0.0568
8.3e-08,0.0632
8.4e-08,0.064
8.5e-08,0.060000000000000005
8.6e-08,0.052000000000000005
8.7e-08,0.0432
8.8e-08,0.0376
8.9e-08,0.0376
9e-08,0.041600000000000005
9.1e-08,0.049600000000000005
9.2e-08,0.0568
9.3e-08,0.0616
9.4e-08,0.0608
9.5e-08,0.0568
9.6e-08,0.0504
9.7e-08,0.0432
9.8e-08,0.04
9.9e-08,0.0408
1e-07,0.0448
1.01e-07,0.0512
1.02e-07,0.0568
1.03e-07,0.0592
1.04e-07,0.057600000000000005
1.05e-07,0.0528
1.06e-07,0.0472
1.07e-07,0.0432
1.08e-07,0.0424
1.09e-07,0.0448
1.1e-07,0.049600000000000005
1.11e-07,0.0536
1.12e-07,0.056
1.13e-07,0.056
1.14e-07,0.0528
1.15e-07,0.0488
1.16e-07,0.0448
1.17e-07,0.0432
1.18e-07,0.0448
1.19e-07,0.048
1.2e-07,0.052000000000000005
1.21e-07,0.055200000000000006
1.22e-07,0.056
1.23e-07,0.054400000000000004
1.24e-07,0.0504
1.25e-07,0.046400000000000004
1.26e-07,0.0432
1.27e-07,0.044000000000000004
1.28e-07,0.046400000000000004
1.29e-07,0.0512
1.3e-07,0.055200000000000006
1.31e-07,0.0568
1.32e-07,0.056
1.33e-07,0.0528
1.34e-07,0.048
1.35e-07,0.0448
1.36e-07,0.0432
1.37e-07,0.0448
1.38e-07,0.048
