Time (s),Voltage (V)
0.0,0.0204
1e-09,0.0188
2e-09,0.0176
3e-09,0.0172
4e-09,0.018000000000000002
5e-09,0.019200000000000002
6e-09,0.0212
7e-09,0.0228
8e-09,0.024
9e-09,0.0236
1e-08,0.0224
1.1e-08,0.02
1.2e-08,0.0176
1.3e-08,0.0164
1.4e-08,0.016
1.5e-08,0.0172
1.6e-08,0.0196
1.7e-08,0.0224
1.8e-08,0.0244
1.9e-08,0.024800000000000003
2e-08,0.024
2.1e-08,0.0216
2.2e-08,0.0184
2.3e-08,0.016
2.4e-08,0.0148
2.5e-08,0.015600000000000001
2.6e-08,0.018000000000000002
2.7e-08,0.020800000000000003
2.8e-08,0.0236
2.9e-08,0.0252
3e-08,0.0252
3.1e-08,0.023200000000000002
3.2e-08,0.0204
3.3e-08,0.0172
3.4e-08,0.0152
3.5e-08,0.0148
3.6e-08,0.0164
3.7e-08,0.019200000000000002
3.8e-08,0.0224
3.9e-08,0.024800000000000003
4e-08,0.0256
4.1e-08,0.024800000000000003
4.2e-08,0.022000000000000002
4.3e-08,0.0188
4.4e-08,0.0164
4.5e-08,0.0148
4.6e-08,0.015600000000000001
4.7e-08,0.0176
4.8e-08,0.020800000000000003
4.9e-08,0.0236
5e-08,0.0252
5.1e-08,0.0252
5.2e-08,0.0236
5.3e-08,0.020800000000000003
5.4e-08,0.0176
5.5e-08,0.015600000000000001
5.6e-08,0.0152
5.7e-08,0.0164
5.8e-08,0.0188
5.9e-08,0.022000000000000002
6e-08,0.0244
6.1e-08,0.0252
6.2e-08,0.024
6.3e-08,0.0216
6.4e-08,0.0188
6.5e-08,0.0164
6.6e-08,0.015600000000000001
6.7e-08,0.0164
6.8e-08,0.0184
6.9e-08,0.0212
7e-08,0.0236
7.1e-08,0.024800000000000003
7.2e-08,0.024
7.3e-08,0.0216
7.4e-08,0.0188
7.5e-08,0.0164
7.6e-08,0.015600000000000001
7.7e-08,0.016800000000000002
7.8e-08,0.0188
7.9e-08,0.0216
8e-08,0.024
8.1e-08,0.0244
8.2e-08,0.023200000000000002
8.3e-08,0.0204
8.4e-08,0.0176
8.5e-08,0.016
8.6e-08,0.016
8.7e-08,0.0176
8.8e-08,0.020800000000000003
8.9e-08,0.024
9e-08,0.0256
9.1e-08,0.024800000000000003
9.2e-08,0.0224
9.3e-08,0.0184
9.4e-08,0.0152
9.5e-08,0.013600000000000001
9.6e-08,0.0148
9.7e-08,0.0184
9.8e-08,0.023200000000000002
9.9e-08,0.0268
1e-07,0.0284
1.01e-07,0.0264
1.02e-07,0.0216
1.03e-07,0.016
1.04e-07,0.011600000000000001
1.05e-07,0.010400000000000001
1.06e-07,0.0128
1.07e-07,0.0188
1.08e-07,0.0252
1.09e-07,0.0304
1.1e-07,0.0316
1.11e-07,0.0284
1.12e-07,0.022000000000000002
1.13e-07,0.014
1.14e-07,0.008
1.15e-07,0.0064
1.16e-07,0.01
1.17e-07,0.0176
1.18e-07,0.0268
1.19e-07,0.033600000000000005
1.2e-07,0.0356
1.21e-07,0.0316
1.22e-07,0.023200000000000002
1.23e-07,0.0132
1.24e-07,0.005200000000000001
1.25e-07,0.0028
1.26e-07,0.0068000000000000005
1.27e-07,0.016
1.28e-07,0.027200000000000002
1.29e-07,0.036000000000000004
1.3e-07,0.0388
1.31e-07,0.034800000000000005
1.32e-07,0.0252
1.33e-07,0.013600000000000001
1.34e-07,0.004
1.35e-07,0.0004
1.36e-07,0.004
1.37e-07,0.013600000000000001
1.38e-07,0.026000000000000002
1.39e-07,0.036000000000000004
1.4e-07,0.040400000000000005
1.41e-07,0.037200000000000004
1.42e-07,0.027600000000000003
1.43e-07,0.0152
1.44e-07,0.0044
1.45e-07,0.0
1.46e-07,0.002
1.47e-07,0.0112
1.48e-07,0.0236
1.49e-07,0.0344
1.5e-07,0.0396
1.51e-07,0.038
1.52e-07,0.0296
1.53e-07,0.0176
1.54e-07,0.0064
1.55e-07,0.0004
1.56e-07,0.0012000000000000001
1.57e-07,0.0092
1.58e-07,0.020800000000000003
1.59e-07,0.032
1.6e-07,0.038400000000000004
1.61e-07,0.038
1.62e-07,0.031200000000000002
1.63e-07,0.020800000000000003
1.64e-07,0.01
1.65e-07,0.0028
1.66e-07,0.0024000000000000002
1.67e-07,0.008
1.68e-07,0.018000000000000002
1.69e-07,0.028
1.7e-07,0.0352
1.71e-07,0.0368
1.72e-07,0.0324
1.73e-07,0.0236
1.74e-07,0.014
1.75e-07,0.0068000000000000005
1.76e-07,0.0044
1.77e-07,0.0076
1.78e-07,0.0152
1.79e-07,0.024
1.8e-07,0.031200000000000002
1.81e-07,0.034
1.82e-07,0.032
1.83e-07,0.026000000000000002
1.84e-07,0.018000000000000002
1.85e-07,0.0108
1.86e-07,0.007200000000000001
1.87e-07,0.008400000000000001
