Time (s),Voltage (V)
0.0,0.008
1e-09,0.008
2e-09,0.008
3e-09,0.016
4e-09,0.024
5e-09,0.024
6e-09,0.024
7e-09,0.024
8e-09,0.016
9e-09,0.008
1e-08,0.008
1.1e-08,0.008
1.2e-08,0.008
1.3e-08,0.016
1.4e-08,0.016
1.5e-08,0.016
1.6e-08,0.024
1.7e-08,0.016
1.8e-08,0.016
1.9e-08,0.008
2e-08,0.008
2.1e-08,0.008
2.2e-08,0.008
2.3e-08,0.016
2.4e-08,0.024
2.5e-08,0.032
2.6e-08,0.032
2.7e-08,0.032
2.8e-08,0.024
2.9e-08,0.016
3e-08,0.008
3.1e-08,0.008
3.2e-08,0.008
3.3e-08,0.016
3.4e-08,0.024
3.5e-08,0.032
3.6e-08,0.04
3.7e-08,0.032
3.8e-08,0.024
3.9e-08,0.016
4e-08,0.008
4.1e-08,0.008
4.2e-08,0.008
4.3e-08,0.016
4.4e-08,0.024
4.5e-08,0.024
4.6e-08,0.024
4.7e-08,0.016
4.8e-08,0.008
4.9e-08,0.008
5e-08,0.0
5.1e-08,0.0
5.2e-08,0.008
5.3e-08,0.016
5.4e-08,0.024
5.5e-08,0.024
5.6e-08,0.024
5.7e-08,0.024
5.8e-08,0.016
5.9e-08,0.008
6e-08,0.008
6.1e-08,0.008
6.2e-08,0.008
6.3e-08,0.016
6.4e-08,0.024
6.5e-08,0.024
6.6e-08,0.024
6.7e-08,0.016
6.8e-08,0.008
