Time (s),Voltage (V)
0.0,0.016800000000000002
1e-09,0.016
2e-09,0.0176
3e-09,0.02
4e-09,0.0224
5e-09,0.023200000000000002
6e-09,0.023200000000000002
7e-09,0.0216
8e-09,0.019200000000000002
9e-09,0.0176
1e-08,0.016800000000000002
1.1e-08,0.0176
1.2e-08,0.02
1.3e-08,0.0216
1.4e-08,0.0224
1.5e-08,0.0224
1.6e-08,0.020800000000000003
1.7e-08,0.019200000000000002
1.8e-08,0.0176
1.9e-08,0.0176
2e-08,0.019200000000000002
2.1e-08,0.0216
2.2e-08,0.023200000000000002
2.3e-08,0.024
2.4e-08,0.0224
2.5e-08,0.02
2.6e-08,0.016800000000000002
2.7e-08,0.0152
2.8e-08,0.016
2.9e-08,0.019200000000000002
3e-08,0.023200000000000002
3.1e-08,0.0264
3.2e-08,0.028
3.3e-08,0.0256
3.4e-08,0.0216
3.5e-08,0.016
3.6e-08,0.012
3.7e-08,0.0112
3.8e-08,0.013600000000000001
3.9e-08,0.02
4e-08,0.0264
4.1e-08,0.031200000000000002
4.2e-08,0.032
4.3e-08,0.028
4.4e-08,0.020800000000000003
4.5e-08,0.0128
4.6e-08,0.008
4.7e-08,0.008
4.8e-08,0.0128
4.9e-08,0.0216
5e-08,0.0304
5.1e-08,0.0352
5.2e-08,0.0344
5.3e-08,0.028
5.4e-08,0.0184
5.5e-08,0.009600000000000001
5.6e-08,0.004
5.7e-08,0.0056
5.8e-08,0.012
5.9e-08,0.023200000000000002
6e-08,0.0328
6.1e-08,0.038400000000000004
6.2e-08,0.0368
6.3e-08,0.028800000000000003
6.4e-08,0.0176
6.5e-08,0.007200000000000001
6.6e-08,0.0016
6.7e-08,0.004
6.8e-08,0.012
6.9e-08,0.024
7e-08,0.0344
7.1e-08,0.04
7.2e-08,0.0376
7.3e-08,0.028800000000000003
7.4e-08,0.016800000000000002
7.5e-08,0.0064
7.6e-08,0.0016
7.7e-08,0.004
7.8e-08,0.0128
7.9e-08,0.024800000000000003
8e-08,0.0344
8.1e-08,0.0392
8.2e-08,0.0368
8.3e-08,0.028
8.4e-08,0.016
8.5e-08,0.007200000000000001
8.6e-08,0.0024000000000000002
8.7e-08,0.0056
8.8e-08,0.013600000000000001
8.9e-08,0.024800000000000003
9e-08,0.033600000000000005
9.1e-08,0.0368
9.2e-08,0.0344
9.3e-08,0.0264
9.4e-08,0.016800000000000002
9.5e-08,0.0088
9.6e-08,0.0056
9.7e-08,0.008
9.8e-08,0.0152
9.9e-08,0.023200000000000002
1e-07,0.0304
1.01e-07,0.033600000000000005
1.02e-07,0.031200000000000002
1.03e-07,0.024800000000000003
1.04e-07,0.0176
1.05e-07,0.012
1.06e-07,0.009600000000000001
1.07e-07,0.0112
1.08e-07,0.016
1.09e-07,0.0216
1.1e-07,0.027200000000000002
1.11e-07,0.028800000000000003
1.12e-07,0.028
1.13e-07,0.024
1.14e-07,0.0184
1.15e-07,0.0152
1.16e-07,0.0128
1.17e-07,0.013600000000000001
1.18e-07,0.016800000000000002
1.19e-07,0.020800000000000003
1.2e-07,0.024
1.21e-07,0.0256
1.22e-07,0.0256
1.23e-07,0.024
1.24e-07,0.0216
1.25e-07,0.019200000000000002
1.26e-07,0.016800000000000002
1.27e-07,0.016
1.28e-07,0.016800000000000002
1.29e-07,0.0184
1.3e-07,0.02
1.31e-07,0.0224
1.32e-07,0.024
1.33e-07,0.024800000000000003
1.34e-07,0.024
1.35e-07,0.0216
1.36e-07,0.019200000000000002
1.37e-07,0.016800000000000002
1.38e-07,0.0152
