Time (s),Voltage (V)
0.0,0.0244
1e-09,0.020800000000000003
2e-09,0.016
3e-09,0.012
4e-09,0.010400000000000001
5e-09,0.012
6e-09,0.016
7e-09,0.020800000000000003
8e-09,0.024800000000000003
9e-09,0.026000000000000002
1e-08,0.024
1.1e-08,0.0196
1.2e-08,0.0148
1.3e-08,0.011600000000000001
1.4e-08,0.0108
1.5e-08,0.0132
1.6e-08,0.0176
1.7e-08,0.0224
1.8e-08,0.0252
1.9e-08,0.0252
2e-08,0.0224
2.1e-08,0.0176
2.2e-08,0.0132
2.3e-08,0.0112
2.4e-08,0.012
2.5e-08,0.015600000000000001
2.6e-08,0.02
2.7e-08,0.024
2.8e-08,0.0256
2.9e-08,0.024
3e-08,0.0196
3.1e-08,0.0148
3.2e-08,0.0112
3.3e-08,0.0108
3.4e-08,0.013600000000000001
3.5e-08,0.0184
3.6e-08,0.0236
3.7e-08,0.0264
3.8e-08,0.026000000000000002
3.9e-08,0.0224
4e-08,0.0172
4.1e-08,0.011600000000000001
4.2e-08,0.0092
4.3e-08,0.01
4.4e-08,0.014400000000000001
4.5e-08,0.020800000000000003
4.6e-08,0.026000000000000002
4.7e-08,0.0284
4.8e-08,0.0268
4.9e-08,0.0216
5e-08,0.0152
5.1e-08,0.009600000000000001
5.2e-08,0.007200000000000001
5.3e-08,0.0092
5.4e-08,0.0148
5.5e-08,0.022000000000000002
5.6e-08,0.028
5.7e-08,0.030000000000000002
5.8e-08,0.028
5.9e-08,0.022000000000000002
6e-08,0.014400000000000001
6.1e-08,0.008
6.2e-08,0.0056
6.3e-08,0.008
6.4e-08,0.014
6.5e-08,0.0216
6.6e-08,0.028
6.7e-08,0.0308
6.8e-08,0.028800000000000003
6.9e-08,0.023200000000000002
7e-08,0.015600000000000001
7.1e-08,0.0088
7.2e-08,0.0056
7.3e-08,0.0068000000000000005
7.4e-08,0.012400000000000001
7.5e-08,0.0196
7.6e-08,0.0264
7.7e-08,0.0304
7.8e-08,0.0296
7.9e-08,0.0252
8e-08,0.0184
8.1e-08,0.0112
8.2e-08,0.0068000000000000005
8.3e-08,0.006
8.4e-08,0.009600000000000001
8.5e-08,0.015600000000000001
8.6e-08,0.0228
8.7e-08,0.028
8.8e-08,0.030000000000000002
8.9e-08,0.028
9e-08,0.0224
9.1e-08,0.0152
9.2e-08,0.0092
9.3e-08,0.006
9.4e-08,0.0068000000000000005
